Qty,Value,Device,Package,Parts,Description,BASE_PN,COMPTYPE,MANUFACTURER_PART_NUMBER,MF,MPN,OC_FARNELL,OC_NEWARK,PACKAGE,PARTNUMBER,SUPPLIER,SYMBOL,TYPE,VENDOR,VERSION
17,0.1uF,C-USC1206,C1206,"C1, C3, C4, C5, C6, C9, C11, C13, C14, C17, C36, C42, C44, C45, C46, C47, C48","CAPACITOR, American symbol",,,,,,,,,,,,,,
6,120nH,R-US_R0603,R0603,"L1, L3, L4, L5, L6, L7","RESISTOR, American symbol",,,,,,,,,,,,,,
6,22-23-2031,22-23-2031,22-23-2031,"ENABLE, PH10, PH11, PH12, PH13, RST",".100"" (2.54mm) Center Header - 3 Pin",,,,MOLEX,22-23-2031,1462950,30C0862,,,,,,,
6,M023.5MM,M023.5MM,SCREWTERMINAL-3.5MM-2,"+5V_IN, -5V_IN, JP1, JP2, JP3, JP4","Standard 2-pin 0.1"" header. Use with",,,,,,,,,,,,,,
3,0,R-US_R1206,R1206,"R32, R33, R100","RESISTOR, American symbol",,,,,,,,,,,,,,
2,,AUDIO-JACKPTH,AUDIO-JACK,"JP5, JP6",3.5mm Audio Jack,,,,,,,,,,,,,,
2,10Uf 4ESR,CPOL-USCT3216,CT3216,"C7, C8","POLARIZED CAPACITOR, American symbol",,,,,,,,,,,,,,
2,2.2nF,C-USC1206,C1206,"C26, C29","CAPACITOR, American symbol",,,,,,,,,,,,,,
2,20,R-US_R1206,R1206,"R25, R26","RESISTOR, American symbol",,,,,,,,,,,,,,
2,5pF,C-USC1206,C1206,"C27, C28","CAPACITOR, American symbol",,,,,,,,,,,,,,
2,787,R-US_R1206,R1206,"R39, R40","RESISTOR, American symbol",,,,,,,,,,,,,,
2,901-143,901-143,AMPHENOL_901-143,"LO, SMA_IN_1","RF/COAXIAL, SMA JACK, R/A, 50OHM, THD",,,,,901-143,1461631,51F3841,"RF/COAXIAL, SMA JACK, R/A, 50OHM, THD ",,Amphenol,,,,
2,AD8021ARMZ,AD8021ARMZ,RM_8,"A1, A2",,,,AD8021ARMZ,,,,,,,,,,Vendor,
2,DS90C401_D_8,DS90C401_D_8,M08A,"Z3, Z3_SPARE",,DS90C401,Interface,,,,,,,DS90C401M,,NameDS90C401M,DS90C401M,NationalSemiconductor,05/02/2007
1,0.018uF,C-USC1206,C1206,C39,"CAPACITOR, American symbol",,,,,,,,,,,,,,
1,1.5k,R-US_R1206,R1206,R7,"RESISTOR, American symbol",,,,,,,,,,,,,,
1,100,R-US_R1206,R1206,R1,"RESISTOR, American symbol",,,,,,,,,,,,,,
1,1nF,C-USC1206,C1206,C43,"CAPACITOR, American symbol",,,,,,,,,,,,,,
1,22pF,C-USC1206,C1206,C2,"CAPACITOR, American symbol",,,,,,,,,,,,,,
1,274,R-US_R0603,R0603,R9,"RESISTOR, American symbol",,,,,,,,,,,,,,
1,3.48k,R-US_R1206,R1206,R6,"RESISTOR, American symbol",,,,,,,,,,,,,,
1,49.9,R-US_R1206,R1206,R13,"RESISTOR, American symbol",,,,,,,,,,,,,,
1,AD8332ACPZ-R7,AD8332ACPZ-R7,CP_32_2,U1,,,,AD8332ACPZ-R7,,,,,,,,,,Vendor,
1,AD8333ACPZ-REEL,AD8333ACPZ-REEL,CP_32_2,U2,,,,,,,,,,,,,,,
